                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.65056,                0.54272,                 1.1272,                0.97312,                      1,                0.97881,                0.86907,                 0.4513,                0.42393,                0.93903,                0.00101,                0.00101,                0.00101
                     37,                0.64321,                0.53575,                 1.1397,                0.93849,                      1,                0.98058,                0.89321,                0.42165,                0.58344,                0.94296,             0.00098171,             0.00098171,             0.00098171
                     38,                0.63153,                0.51698,                 1.1199,                0.95902,                0.95122,                0.98593,                0.91542,                0.39306,                0.49024,                0.94261,             0.00095343,             0.00095343,             0.00095343
                     39,                0.64421,                0.53582,                 1.1404,                0.96874,                0.95122,                0.98117,                0.89093,                0.41138,                0.42963,                0.93708,             0.00092514,             0.00092514,             0.00092514
                     40,                0.61951,                0.50041,                 1.1325,                0.95117,                      1,                0.97634,                0.91443,                0.35178,                0.40815,                0.89192,             0.00089686,             0.00089686,             0.00089686
                     41,                0.62264,                0.52046,                 1.1155,                 0.9534,                      1,                0.98689,                0.89316,                0.46066,                0.50483,                0.95222,             0.00086857,             0.00086857,             0.00086857
                     42,                0.62232,                0.50203,                 1.1136,                0.95343,                0.99864,                0.98303,                0.90293,                0.41497,                0.36061,                0.91764,             0.00084029,             0.00084029,             0.00084029
                     43,                0.61299,                0.50438,                  1.128,                0.97601,                0.99246,                0.98881,                0.93133,                0.33597,                0.33841,                 0.8646,               0.000812,               0.000812,               0.000812
                     44,                0.62324,                0.49509,                 1.1315,                 0.9709,                0.95122,                0.98852,                0.90748,                0.39392,                0.54767,                  0.893,             0.00078371,             0.00078371,             0.00078371
                     45,                0.60203,                0.48209,                  1.107,                0.95019,                      1,                0.98058,                0.92303,                0.35847,                0.38187,                0.89122,             0.00075543,             0.00075543,             0.00075543
                     46,                0.58735,                0.48084,                 1.0882,                0.95234,                      1,                0.98689,                0.93849,                0.33598,                0.37802,                0.87008,             0.00072714,             0.00072714,             0.00072714
                     47,                0.58766,                0.46496,                 1.0941,                0.95168,                      1,                0.98123,                0.92068,                0.36082,                0.36326,                0.87762,             0.00069886,             0.00069886,             0.00069886
                     48,                0.57271,                0.46501,                 1.0975,                0.94953,                      1,                0.99114,                0.92488,                0.36827,                0.32082,                 0.8677,             0.00067057,             0.00067057,             0.00067057
                     49,                0.59177,                0.48041,                 1.1051,                0.97217,                      1,                0.99167,                0.90729,                0.40831,                0.34716,                0.91647,             0.00064229,             0.00064229,             0.00064229
                     50,                0.58416,                0.46919,                 1.0958,                0.95348,                0.99986,                0.98264,                0.90918,                0.36196,                0.34421,                0.89932,               0.000614,               0.000614,               0.000614
                     51,                0.56532,                0.46663,                  1.082,                0.95316,                0.97561,                0.98505,                0.92937,                0.37514,                0.34789,                0.89508,             0.00058571,             0.00058571,             0.00058571
